Title,Price,Image URL
H.E. Gaming PC -AMD Ryzen 5 5600G 3.9GHz - RTX 4060 8GB -32GB DDR4 RAM -1TB PCIe SSD -240 Liquid Cooler -WIFI &Bluetooth Ready -RGB Fans-Windows 11 Pro Desktop Computer,$959.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/B11ND2311080EYAUTD6.jpg
"H.E. Ocean Park Gaming PC Desktop-RTX 4070 12G,AMD Ryzen 7 5700X 3.4 GHz 8-Core, 32GB DDR4 RAM,1TB PCI-E  SSD, 360 Liquid-Cooled,RGB Fans, WIFI &Bluetooth ,Win 11 Pro 64bit -White","$1,529.99 –",https://c1.neweggimages.com/ProductImageCompressAll300/B11ND2309220KSY0S85.jpg
"Cobratype Gorgon Gaming Desktop PC - Intel Core i9-12900KF, NVIDIA RTX 3070 Ti, 32GB DDR5, 2TB NVMe, AIO Liquid Cooler, Windows 11 Home","$1,939.99 –",https://c1.neweggimages.com/ProductImageCompressAll300/AHT3S211209111BKL96.jpg
"Velztorm Gladio Custom Built Powerful Gaming Desktop PC White (AMD Ryzen 9 5900X 12-Core, 32GB RAM, 1TB PCIe SSD, NVIDIA GeForce RTX 3090, Wifi, Bluetooth, 2xUSB 3.0, 1xHDMI, Win 10 Home)","$2,349.99 –",https://c1.neweggimages.com/ProductImageCompressAll300/A7ABD2201300N6JZFD4.jpg
"Lenovo V50t G2 Desktop, Intel Core i7-11700 Upto 4.9GHz, 16GB RAM, 512GB NVMe SSD + 1TB HDD, DVDRW, VGA, HDMI, DisplayPort, Windows 11 Pro",$699.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/AA0SD22111519GTRC41.jpg
"STGAubron Gaming Desktop PC,Intel Core i7-10700KF up to 5.1G,16G DDR4,1T SSD,GeForce RTX 3060 12G GDDR6,600M WiFi,BT 5.0,RGB Fan x 7,RGB Keyboard&Mouse,RGB Mouse Pad,W11H64",$864.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/AJP0S2310190QVICUDE.jpg
"Dell OptiPlex 3000 Desktop, Intel Core i9-12900K Upto 5.2GHz, 32GB RAM, 1TB NVMe SSD + 2TB HDD, DVDRW, HDMI, DisplayPort, Wi-Fi, Bluetooth, Windows 11 Pro","$1,149.99 –",https://c1.neweggimages.com/ProductImageCompressAll300/AA0SD2302231ARNXY86.jpg
"CLX SET Gaming Desktop - Intel Core i9 13900KF 3GHz 24-Core, GeForce RTX 4090 24GB GDDR6X Graphics, 64GB DDR5 Memory, 1TB NVMe M.2 SSD, 6TB HDD, WiFi, Win 11 Home 64-bit","$4,099.99 (5 Offers)–",https://c1.neweggimages.com/ProductImageCompressAll300/ACY7D22101814JVCU2F.jpg
"Lenovo ThinkCentre Neo 50s Gen 4 Desktop, i5-13400,   UHD Graphics 730, 8GB, 256GB, 1 YR On-site Warranty",$508.00 –,https://c1.neweggimages.com/ProductImageCompressAll300/VAFJD2308110W0NX8C3.jpg
"YEYIAN YARI Gaming PC Desktop INTEL Core i7 13700F, RTX 4070, 1TB NVMe SSD, 16GB DDR4 3200, 650W Gold PSU, 240mm AIO, AC Wi-Fi, Window 11 64bit- YPI-YA37F0B-4701U","$1,499.99 (2 Offers)–",https://c1.neweggimages.com/ProductImageCompressAll300/AZRBS230407181ZO3C3.jpg
